Actual_Load,Predicted_Load,Error
0.006121337847367099,0.0061004534,2.0884410992435057e-05
0.0013310540141916313,0.0061312667,-0.004800212695225473
0.006320760547662315,0.006248599,7.216162934356625e-05
0.005575526712381122,0.006223964,-0.0006484373268551853
0.009589592287706693,0.006273322,0.003316270480322202
0.006661873585887901,0.006269097,0.0003927767233631533
0.010973688152114974,0.0064698984,0.004503789760599957
0.002409905672206885,0.006421831,-0.004011925298587077
0.010673458688804446,0.006428357,0.004245101475068866
0.005078915259261537,0.006226255,-0.0011473398335083238
0.006342270134422693,0.0062224627,0.00011980738717666615
0.009757051333266492,0.00624677,0.003510281532484288
0.008203168144287728,0.006156459,0.0020467091592272744
0.011174621554951705,0.0062632435,0.004911378054808416
0.011337424496325929,0.00627865,0.005058774592492063
0.007893320689694047,0.006456094,0.0014372268270412686
0.007210289750652589,0.0065495647,0.0006607250947823894
0.003720795928143038,0.0065146303,-0.0027938343522920473
0.004027485806373403,0.006475814,-0.002448328346135571
0.003858798696244879,0.0064152884,-0.0025564897334624096
0.009084585983695097,0.0064013535,0.002683232468010492
0.007549214366022967,0.006187639,0.001361575166825675
0.009121896652913632,0.006170044,0.0029518524654572626
0.009527082204382588,0.006215677,0.0033114050734152096
0.010637665543097578,0.0061849672,0.004452698308366858
0.002662764344396312,0.00623764,-0.003574875701186936
0.010606335055742976,0.0062570404,0.004349294629607913
0.007553290951231862,0.0061653955,0.001387895460406686
0.01066631952305269,0.0061888113,0.004477508254395244
0.010416265574999979,0.0061327103,0.00428355531559222
0.005480896957221077,0.0061723515,-0.0006914545819139027
0.008410549792083912,0.0063425507,0.002067999052437954
0.009642149289454713,0.006276948,0.0033652013776259565
0.003716460549187809,0.00634305,-0.002626589379358143
0.006170773757458258,0.0065718284,-0.0004010546302194119
0.0038717534997753443,0.0063113696,-0.0024396160944112
0.0019970005805205757,0.0062697814,-0.0042727808040965145
0.008258354202015714,0.006540107,0.001718247126890735
0.0074637189498547194,0.006199712,0.0012640070161226867
0.005327516893357654,0.0062136045,-0.0008860875792199175
0.0032176227805389254,0.006194502,-0.0029768793347107084
0.003016339385191397,0.0063281073,-0.003311767938306137
0.004062362839972323,0.006316597,-0.0022542342678255377
0.011339998203934809,0.0062549706,0.0050850276422218284
0.010970722442017465,0.006200963,0.004769759276406436
0.0103653469609447,0.006175404,0.004189943012071418
0.0019635973944736144,0.00624325,-0.00427965247263783
0.009703634994519922,0.006270717,0.0034329180963766307
0.009141079656186516,0.0062424764,0.00289860325247329
0.01108266524047631,0.006249698,0.0048329673615195145
0.006119293960007506,0.0062507065,-0.00013141254129759704
0.00638911644000613,0.006275221,0.00011389566589199793
0.007321998099858193,0.0063394,0.0009825980244821588
0.006790583815318868,0.006286988,0.0005035957804744697
0.004437573244645848,0.006240373,-0.0018027997670326092
0.002820731808903226,0.006252897,-0.003432165163097373
0.00849099387038068,0.0063558095,0.0021351843569012083
0.010659088913366933,0.0061881095,0.00447097939626946
0.007839624487794378,0.006222189,0.0016174355493852877
0.009314462281683925,0.006206214,0.0031082483193972145
0.0065148701305359265,0.006425363,8.950711887773487e-05
0.006256106730130309,0.006433006,-0.00017689918023646497
0.011484728537407032,0.006401384,0.005083344753738752
0.011551456646810957,0.0063570407,0.005194415924887844
0.007452542789436249,0.006291568,0.0011609749758311793
0.0051492634258535975,0.0064505194,-0.0013012560055288202
0.005004009411660024,0.006364861,-0.001360851625922135
0.0078469406365626,0.006276743,0.0015701976157002587
0.0034553603083736367,0.0061244536,-0.0026690933107488685
0.01158288536187093,0.0061598383,0.0054230470728484845
0.008180082034497124,0.006103163,0.002076918915091616
0.0028119207549227457,0.0061618118,-0.00334989100663531
0.004980647854173501,0.006300014,-0.0013193661238607565
0.0036650322151046792,0.006311712,-0.0026466796401280364
0.0020944376100897584,0.0062931473,-0.0041987097266018595
0.007846596992357005,0.0064952304,0.0013513666268124471
0.0022558778320670705,0.0062376945,-0.003981816695886793
0.005033728178284915,0.006226908,-0.0011931797716097517
0.007895107313276927,0.006400547,0.0014945603229419395
0.0028587104904632464,0.0062242104,-0.0033654998835940465
0.010337019981988249,0.0062741674,0.004062852533706007
0.0030832802775715012,0.006186003,-0.0031027225878621917
0.007475536073028557,0.0061952705,0.0012802656166548652
0.010710036245710992,0.006218017,0.004492019166774892
0.002141851111551557,0.006198356,-0.004056504816511836
0.00218495970412693,0.006350469,-0.004165509140048408
0.0024387487296974597,0.006461319,-0.004022570318260199
0.004719240398351781,0.00635976,-0.0016405197854892093
0.007991841098746712,0.006157597,0.0018342440375000782
0.006899643920163947,0.0061423685,0.0007572753799961387
0.004219578497708684,0.0061313948,-0.0019118162685624303
0.007644702093034879,0.0061675915,0.0014771105435787595
0.005785702241571808,0.0061803465,-0.0003946442362049579
0.00475971247236291,0.0062088426,-0.0014491301478906527
0.004996346274706129,0.006320011,-0.0013236645959889852
0.004826900363713792,0.006229518,-0.0014026176176962345
0.006472306353354855,0.0062510557,0.00022125060608427054
0.005149661689635687,0.0062491056,-0.0010994438681636524
0.00446872922925504,0.006215449,-0.0017467197276815581
0.00453574884451214,0.0063834484,-0.0018476995290141948
0.0033036861227163845,0.0062965774,-0.0029928912750175423
0.0033840106172380565,0.0063985195,-0.0030145088838519933
0.004009934051609063,0.0064795082,-0.0024695741918921233
0.01145259559334403,0.0063209264,0.0051316692325580684
0.003298836055919346,0.0062300293,-0.0029311932215841446
0.0055176087915977815,0.006173991,-0.0006563823409298083
0.010722414616664181,0.0063484157,0.004373998873104582
